scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
27,356.4555592,204.305562,1,401.7075896,204.0334721,1,386.1877098,176.9570055,1,358.4858737,165.1095142,1,329.5732822,175.5563889,1,311.8889358,204.7489767,1,320.7968297,231.7664478,1,353.7466831,247.4125483,1,389.9490463,235.2643676,1
28,337.09693,198.3392308,1,383.111232,198.5408378,1,367.6509056,169.6393838,1,340.2023315,159.9628019,1,311.9356649,171.6268463,1,295.6052606,200.2562699,1,305.4826322,227.5240073,1,336.941134,242.4855094,1,370.9099236,229.5499693,1
29,334.3751731,198.4142084,1,381.0073773,198.7976232,1,364.6490061,168.7093906,1,336.4715252,158.5665801,1,307.8000927,171.7488894,1,291.1291146,199.4118476,1,303.5050688,228.5647163,1,334.9475365,243.6731777,1,368.8238137,229.1175032,1
30,326.9620311,196.877135,1,375.2281346,199.0143201,1,358.7197039,168.0966816,1,328.4278688,157.9466227,1,301.066043,171.225318,1,285.287221,199.5300024,1,297.3158689,229.5357409,1,328.5241194,243.4794922,1,363.8874807,229.0327796,1
31,317.1336411,200.39431,1,366.7349198,202.688592,1,350.7669642,169.7267857,1,319.5466392,157.9619094,1,289.4998465,171.9614549,1,273.1165133,202.6492524,1,285.4055601,232.7112556,1,317.5630784,248.201098,1,354.2247642,233.8040142,1
32,317.5303618,196.9497428,1,367.1147666,198.7283688,1,352.0295992,165.9870297,1,321.2144523,154.6186337,1,289.5604491,169.3423557,1,272.7501187,198.8405313,1,286.1638079,229.6979026,1,318.8924658,245.4111736,1,354.6780109,230.2037761,1
33,319.1588526,196.0703836,1,371.5789909,198.5358977,1,353.8601091,164.1579742,1,322.3443131,154.0810609,1,291.2468615,167.7849119,1,274.4343128,198.1502395,1,287.3982234,229.7607378,1,321.3729644,246.1953993,1,359.8994532,231.2070119,1
34,323.677625,193.8836489,1,376.8625383,195.1728852,1,358.5468132,161.2627349,1,327.2253661,150.8952386,1,294.0418506,165.3395605,1,276.1123579,196.3582306,1,288.3262014,227.4209232,1,324.1557306,245.2220051,1,363.392868,229.228659,1
35,321.436358,191.7811432,1,375.2431278,193.0771585,1,358.5193493,157.1224382,1,327.1290495,147.244792,1,292.9639214,162.4442363,1,275.1766588,193.2950926,1,287.3008244,227.1655698,1,320.4268093,243.429722,1,362.9758921,227.8853512,1
36,310.6958776,205.7919847,1,365.4188884,207.3671844,1,350.6196764,174.8043478,1,317.8719383,161.6399026,1,284.1568661,176.6941252,1,268.1785564,207.2448881,1,277.3152685,238.7879856,1,312.0959954,257.4226413,1,349.8548214,241.6616993,1
