scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
33,317.2792214,217.1694355,1,393.1499577,220.8960064,1,371.0498716,173.9904872,1,327.1337016,159.9044266,1,288.1958985,180.8175898,1,265.3975139,216.766542,1,276.7381029,255.4280279,1,325.4232497,281.8919368,0.99999994,378.0504012,264.9717035,1
34,330.4947572,215.6796906,1,403.4692165,218.6288061,1,378.9793353,172.9773536,1,340.0317829,156.8694315,1,300.9538679,175.3915939,1,277.6143287,211.7350044,1,290.0385715,253.6659765,1,336.9966757,281.9774127,0.999990344,388.4289955,264.2849755,1
35,343.9353838,218.4780877,0.99999994,412.6164027,228.4270084,1,385.4563265,178.844686,1,347.2778282,162.3668008,1,308.2399149,178.7983441,1,281.3095403,216.8597445,1,293.5474149,256.1295938,1,355.6013336,284.0157411,0.999878883,396.6784973,272.373836,1
36,344.2410169,223.4934754,1,411.5791863,229.8063775,1,388.9776633,184.5218062,1,349.7255443,165.6713228,1,307.6037607,184.2716446,1,288.3743594,220.851737,1,295.6803467,261.2152939,1,356.2452779,283.0866805,0.999486208,398.3501832,271.5348361,1
37,348.5563411,219.5161133,1,414.7516885,227.9159022,1,392.3963323,181.9451739,1,351.8463995,162.7621469,1,310.9746835,180.3785839,1,295.4566333,213.6622915,1,307.3205602,249.0560312,1,360.6808572,281.5456171,0.999999881,401.2912827,269.8114032,1
38,362.9998584,218.3591347,1,429.3711145,228.8263708,1,404.0920052,180.4574356,1,364.5799704,161.1335764,1,325.4782656,174.987957,1,310.9619501,210.0098763,1,323.8554151,249.0752847,0.999999762,376.0680161,283.3868142,0.999981165,413.1031309,274.2374583,1
39,342.319231,204.2114912,0.999999523,402.3131864,204.947562,1,381.89957,163.0835031,1,338.5938333,139.9118013,1,297.920089,154.8910279,1,273.4454727,191.8376455,1,313.8919787,242.2507542,0.99999994,353.4957268,261.9781697,1,390.5516748,247.637877,1
40,350.0631669,209.9032607,0.999992013,410.580451,216.1597629,1,388.0232899,171.6772775,1,348.2488432,152.0407548,1,310.5176713,166.8718727,1,293.9484962,206.8134999,0.999999881,311.3379095,246.1098061,1,354.9164747,269.3550216,0.998412609,397.8577374,260.7832133,1
41,349.5333897,209.971242,0.999933839,409.6130364,218.9666582,1,387.7958842,174.7173822,1,348.0815301,156.6581573,1,309.0757492,171.6516671,1,289.8598497,209.7936006,0.99999994,308.7848596,248.0934844,1,343.6103728,263.5023363,0.97972995,399.5387173,261.4959881,1
42,344.0339527,206.4529214,0.99999851,405.226207,210.9317288,1,383.3727412,169.5113335,0.999999642,343.3469465,148.2645102,1,304.2130563,163.0690727,1,277.947971,204.3046187,1,305.8291476,245.3761235,1,352.9749103,265.9087667,0.99973774,393.0248742,253.2254648,1
